enrolment_id,learner_id,course_id,enrol_date,expected_completion_date,actual_completion_date,status,progress_pct,last_activity_date,assessment_score,attempts,feedback_rating,certificate_issued
ENR01707,LRN0326,CRS042,2024-02-07,2024-02-17,,In Progress,43,2024-02-08,,1,,No
ENR00875,LRN0291,CRS023,2024-02-13,2024-05-03,,Not Started,0,,,2,2,No
ENR01669,LRN0139,CRS016,2024-03-08,2024-03-28,,Dropped,0,2024-03-16,,2,,No
ENR00420,LRN0057,CRS030,2024-03-17,2024-05-16,2024-03-30,Completed,100,,60.54,2,1,Yes
ENR00315,LRN0306,CRS048,2024-01-02,2024-01-12,,In Progress,46,2024-02-08,,1,,No
ENR01232,LRN0059,CRS055,2024-03-06,2024-03-16,2024-03-22,Completed,100,2024-03-22,99.78,1,3,Yes
ENR01437,LRN0286,CRS036,2024-03-07,2024-03-27,,Dropped,7,2024-03-16,,1,,No
ENR01487,LRN0135,CRS003,2024-01-31,2024-02-20,,Not Started,0,,,1,,No
ENR01780,LRN0356,CRS042,2024-01-22,2024-02-01,2024-01-25,Completed,100,2024-01-25,87.85,1,3,Yes
ENR00288,LRN0404,CRS028,2024-02-18,2024-03-29,2024-03-22,Completed,100,2024-03-22,58.61,1,5,No
ENR00122,LRN0046,CRS010,2024-02-09,2024-02-29,,Not Started,0,,,1,3,No
ENR01927,LRN0338,CRS048,2024-03-09,2024-03-19,,Not Started,0,,,1,,No
ENR01644,LRN0298,CRS060,2024-02-12,2024-03-13,2024-03-07,Completed,100,2024-03-07,46.14,1,3,No
ENR00663,LRN0026,CRS057,2024-03-17,2024-03-27,,In Progress,64,2024-03-21,,1,,No
ENR00981,LRN0300,CRS034,2024-01-02,2024-01-22,2024-01-05,Completed,100,2024-01-05,62.57,1,4,Yes
ENR00802,LRN0340,CRS026,2024-02-03,2024-02-13,2024-02-08,Completed,100,2024-02-08,74.31,1,4,Yes
ENR00756,LRN0451,CRS060,2024-01-15,2024-02-14,,Dropped,31,2024-01-15,,1,,No
ENR00672,LRN0399,CRS012,2024-02-05,2024-03-16,,In Progress,87,2024-02-07,,1,,No
ENR00106,LRN0229,CRS005,2024-02-17,2024-03-28,,In Progress,85,2024-03-13,,1,,No
ENR01666,LRN0083,CRS033,2024-01-26,2024-03-06,2024-02-25,Completed,100,2024-02-25,46.09,1,4,No
ENR00888,LRN0475,CRS006,2024-01-24,2024-02-03,2024-01-27,Completed,100,2024-01-27,45.21,1,2,No
ENR00421,LRN0433,CRS024,2024-01-27,2024-02-26,2024-02-22,Completed,100,2024-02-22,88.75,1,4,Yes
ENR00733,LRN0359,CRS046,2024-02-10,2024-03-21,,Not Started,0,,,1,,No
ENR01640,LRN0253,CRS025,2024-02-02,2024-03-13,2024-03-03,Completed,100,2024-03-03,69.99,1,3,Yes
ENR01118,LRN0075,CRS008,2024-02-04,2024-04-24,,Dropped,16,2024-02-12,,1,,No
ENR00208,LRN0426,CRS043,2024-01-22,2024-04-11,,Dropped,26,2024-01-22,,1,,No
ENR01814,LRN0077,CRS002,2024-01-25,2024-02-14,,In Progress,18,2024-01-26,,1,,No
ENR00200,LRN0023,CRS030,2024-01-04,2024-03-04,2024-02-27,Completed,100,2024-02-27,65.96,1,2,Yes
ENR01496,LRN0348,CRS022,2024-02-28,2024-03-19,2024-03-29,Completed,100,2024-03-29,88.45,1,3,Yes
ENR01306,LRN0241,CRS006,2024-01-27,2024-02-06,,In Progress,21,2024-03-30,,1,,No
ENR00868,LRN0403,CRS005,2024-01-11,2024-02-20,2024-03-01,Completed,100,2024-03-01,92.82,1,1,Yes
ENR00030,LRN0228,CRS051,2024-01-18,2024-04-07,2024-02-07,Completed,100,2024-02-07,79.56,1,1,Yes
ENR01041,LRN0100,CRS027,2024-03-13,2024-04-12,2024-03-17,Completed,100,,68.48,1,2,Yes
ENR01283,LRN0082,CRS014,2024-03-11,2024-04-10,,In Progress,78,2024-03-11,,1,,No
ENR00287,LRN0099,CRS046,2024-02-17,2024-03-28,,In Progress,75,2024-03-29,,1,,No
ENR00181,LRN0401,CRS026,2024-02-21,2024-03-02,,Dropped,0,2024-03-04,,1,,No
ENR01150,LRN0458,CRS035,2024-02-17,2024-05-07,2024-03-31,Completed,100,2024-03-31,86.17,1,2,Yes
ENR01624,LRN0313,CRS040,2024-02-14,2024-03-15,,Dropped,15,2024-02-19,,2,3,No
ENR00237,LRN0001,CRS007,2024-01-09,2024-02-18,,Dropped,33,2024-01-15,,1,,No
ENR00515,LRN0037,CRS027,2024-03-17,2024-04-16,,Dropped,5,2024-03-31,,2,,No
ENR00232,LRN0331,CRS010,2024-02-03,2024-02-23,,In Progress,28,2024-03-17,,1,,No
ENR01042,LRN0034,CRS011,2024-01-05,2024-01-15,2024-01-15,Completed,100,2024-01-15,88.29,1,2,Yes
ENR00561,LRN0371,CRS050,2024-03-16,2024-03-26,,Not Started,0,,,2,1,No
ENR00279,LRN0285,CRS029,2024-02-10,2024-04-30,2024-02-21,Completed,100,2024-02-21,76.63,1,1,Yes
ENR01926,LRN0014,CRS057,2024-02-24,2024-03-05,2024-03-15,Completed,100,2024-03-15,87.15,1,5,Yes
ENR01341,LRN0153,CRS042,2024-03-17,2024-03-27,,Dropped,25,2024-03-31,,1,,No
ENR00413,LRN0481,CRS041,2024-02-19,2024-03-20,,Not Started,0,,,1,,No
ENR01834,LRN0488,CRS010,2024-01-17,2024-02-06,2024-01-20,Completed,100,2024-01-20,97.6,1,4,Yes
ENR00725,LRN0072,CRS030,2024-02-05,2024-04-05,2024-02-25,Completed,100,2024-02-25,56.47,1,3,No
ENR01143,LRN0298,CRS046,2024-01-18,2024-02-27,2024-01-24,Completed,100,2024-01-24,74.65,1,2,Yes
ENR00603,LRN0083,CRS034,2024-01-16,2024-02-05,2024-02-08,Completed,100,2024-02-08,92.84,1,4,Yes
ENR01668,LRN0173,CRS013,2024-03-10,2024-05-29,2024-03-17,Completed,100,2024-03-17,45.21,1,3,No
ENR00037,LRN0105,CRS013,2024-02-04,2024-04-24,2024-03-31,Completed,100,2024-03-31,66.01,1,2,Yes
ENR00133,LRN0340,CRS021,2024-02-13,2024-03-04,2024-02-29,Completed,100,2024-02-29,45.87,1,1,No
ENR01207,LRN0016,CRS036,2024-01-19,2024-02-08,,In Progress,79,2024-03-04,,1,,No
ENR01875,LRN0051,CRS009,2024-01-30,2024-02-19,,In Progress,82,2024-03-18,,1,3,No
ENR00655,LRN0109,CRS020,2024-02-25,2024-03-06,2024-03-03,Completed,100,2024-03-03,80.97,1,3,Yes
ENR01904,LRN0167,CRS017,2024-01-08,2024-01-28,2024-01-25,Completed,100,2024-01-25,78.87,1,5,Yes
ENR01358,LRN0026,CRS018,2024-01-06,2024-02-05,,In Progress,25,2024-02-04,,1,,No
ENR01901,LRN0351,CRS001,2024-01-05,2024-02-04,2024-01-12,Completed,100,2024-01-12,56.48,1,4,No
ENR00318,LRN0438,CRS038,2024-01-20,2024-02-19,2024-01-23,Completed,100,2024-01-23,67.07,1,2,Yes
ENR00959,LRN0459,CRS049,2024-01-25,2024-03-05,,Dropped,32,2024-02-08,,1,,No
ENR01516,LRN0276,CRS015,2024-01-17,2024-01-27,,Dropped,1,2024-01-27,,1,,No
ENR00948,LRN0333,CRS003,2024-03-13,2024-04-02,,Dropped,35,2024-03-19,,3,,No
ENR01301,LRN0274,CRS026,2024-01-08,2024-01-18,,Dropped,2,2024-01-22,,1,,No
ENR01329,LRN0344,CRS024,2024-02-27,2024-03-28,2024-03-30,Completed,100,2024-03-30,46.68,1,3,No
ENR00813,LRN0034,CRS047,2024-02-05,2024-04-05,,In Progress,13,2024-03-22,,1,,No
ENR00849,LRN0163,CRS003,2024-03-13,2024-04-02,2024-03-17,Completed,100,2024-03-17,63.77,3,2,Yes
ENR01317,LRN0233,CRS008,2024-01-19,2024-04-08,2024-03-08,Completed,100,2024-03-08,96.43,1,5,Yes
ENR00527,LRN0284,CRS014,2024-01-16,2024-02-15,2024-01-20,Completed,100,2024-01-20,46.97,1,4,No
ENR01765,LRN0101,CRS002,2024-02-24,2024-03-15,,Dropped,7,2024-03-03,,1,,No
ENR01313,LRN0146,CRS002,2024-03-12,2024-04-01,,In Progress,27,2024-03-28,,2,,No
ENR00860,LRN0216,CRS057,2024-02-23,2024-03-04,,In Progress,66,2024-03-22,,3,,No
ENR00774,LRN0186,CRS035,2024-01-30,2024-04-19,,In Progress,31,2024-03-03,,1,,No
ENR01916,LRN0018,CRS015,2024-02-21,2024-03-02,,In Progress,81,2024-03-27,,1,,No
ENR01411,LRN0440,CRS059,2024-01-14,2024-04-03,,In Progress,66,2024-03-04,,1,,No
ENR01826,LRN0474,CRS041,2024-02-24,2024-03-25,2024-02-27,Completed,100,2024-02-27,51.88,1,3,No
ENR01903,LRN0124,CRS059,2024-03-12,2024-05-31,2024-03-31,Completed,100,2024-03-31,97.68,1,4,Yes
ENR00629,LRN0423,CRS049,2024-03-05,2024-04-14,2024-03-17,Completed,100,2024-03-17,49.62,1,3,No
ENR00961,LRN0016,CRS019,2024-01-16,2024-03-16,2024-01-20,Completed,100,2024-01-20,48.69,1,1,No
ENR00568,LRN0015,CRS039,2024-01-06,2024-03-26,,Not Started,0,,,1,,No
ENR01734,LRN0057,CRS054,2024-03-16,2024-04-25,2024-03-20,Completed,100,2024-03-20,48.93,1,4,No
ENR01468,LRN0202,CRS024,2024-02-27,2024-03-28,,In Progress,20,2024-03-20,,1,,No
ENR00069,LRN0355,CRS026,2024-03-03,2024-03-13,2024-03-17,Completed,100,2024-03-17,64.84,1,4,Yes
ENR01920,LRN0202,CRS021,2024-03-17,2024-04-06,,In Progress,25,2024-03-17,,1,,No
ENR00598,LRN0443,CRS032,2024-03-16,2024-03-26,2024-03-19,Completed,100,2024-03-19,67.18,2,5,Yes
ENR00997,LRN0201,CRS031,2024-02-04,2024-02-14,,Not Started,0,,,1,,No
ENR00012,LRN0383,CRS044,2024-02-08,2024-04-28,,Dropped,20,2024-02-14,,2,,No
ENR01753,LRN0195,CRS019,2024-02-01,2024-04-01,2024-02-04,Completed,100,2024-02-04,81.3,2,2,Yes
ENR01169,LRN0272,CRS033,2024-01-03,2024-02-12,,Dropped,6,2024-01-14,,1,,No
ENR00380,LRN0021,CRS058,2024-02-19,2024-03-20,2024-03-24,Completed,100,2024-03-24,78.38,3,5,Yes
ENR00740,LRN0379,CRS010,2024-02-12,2024-03-03,2024-02-28,Completed,100,2024-02-28,69.97,1,4,Yes
ENR00872,LRN0359,CRS018,2024-02-01,2024-03-02,,Not Started,0,,,1,,No
ENR01721,LRN0094,CRS028,2024-01-05,2024-02-14,,In Progress,78,2024-03-09,,2,,No
ENR01547,LRN0091,CRS028,2024-03-05,2024-04-14,,Dropped,17,2024-03-09,,2,,No
ENR00626,LRN0327,CRS046,2024-01-08,2024-02-17,2024-02-26,Completed,100,2024-02-26,74.92,3,2,Yes
ENR01898,LRN0292,CRS051,2024-03-11,2024-05-30,2024-03-31,Completed,100,2024-03-31,55.14,1,4,No
ENR00467,LRN0139,CRS044,2024-03-07,2024-05-26,,Dropped,9,2024-03-07,,3,,No
ENR01971,LRN0149,CRS016,2024-02-16,2024-03-07,,In Progress,14,2024-03-14,,1,2,No
ENR00719,LRN0442,CRS029,2024-02-13,2024-05-03,,In Progress,33,2024-03-18,,1,,No
ENR01326,LRN0415,CRS017,2024-02-29,2024-03-20,,In Progress,15,2024-03-07,,1,,No
ENR00513,LRN0281,CRS053,2024-02-12,2024-05-02,,Not Started,0,,,1,,No
ENR00946,LRN0023,CRS043,2024-01-09,2024-03-29,,Not Started,0,,,2,,No
ENR01397,LRN0448,CRS006,2024-01-23,2024-02-02,,In Progress,66,2024-03-08,,2,,No
ENR01825,LRN0235,CRS006,2024-01-04,2024-01-14,2024-01-22,Completed,100,2024-01-22,94.91,1,2,Yes
ENR00949,LRN0435,CRS048,2024-01-07,2024-01-17,2024-01-10,Completed,100,2024-01-10,77.89,1,4,Yes
ENR00987,LRN0331,CRS056,2024-01-21,2024-03-21,2024-03-22,Completed,100,2024-03-22,60.82,1,4,Yes
ENR00045,LRN0023,CRS009,2024-03-04,2024-03-24,,Dropped,17,2024-03-17,,1,,No
ENR00349,LRN0351,CRS025,2024-01-15,2024-02-24,,In Progress,38,2024-01-29,,1,,No
ENR00404,LRN0091,CRS030,2024-02-24,2024-04-24,2024-03-31,Completed,100,2024-03-31,77.72,1,4,Yes
ENR01631,LRN0403,CRS054,2024-03-17,2024-04-26,,Not Started,0,,,1,,No
ENR01137,LRN0213,CRS007,2024-02-25,2024-04-05,2024-03-31,Completed,100,2024-03-31,54.14,1,5,No
ENR00303,LRN0181,CRS004,2024-02-24,2024-04-24,,In Progress,57,2024-03-05,,3,,No
ENR00094,LRN0085,CRS028,2024-01-08,2024-02-17,2024-01-11,Completed,100,,81.31,1,5,Yes
ENR00563,LRN0050,CRS015,2024-02-08,2024-02-18,,In Progress,82,2024-02-11,,1,,No
ENR00197,LRN0094,CRS045,2024-03-13,2024-03-23,2024-03-30,Completed,100,2024-03-30,97.01,1,2,Yes
ENR00908,LRN0108,CRS021,2024-01-30,2024-02-19,,Not Started,0,,,2,,No
ENR01874,LRN0382,CRS049,2024-01-15,2024-02-24,2024-02-28,Completed,100,2024-02-28,49.2,1,4,No
ENR01963,LRN0448,CRS022,2024-02-10,2024-03-01,,In Progress,32,2024-02-27,,1,,No
ENR01435,LRN0288,CRS049,2024-01-25,2024-03-05,,In Progress,47,2024-02-19,,1,,No
ENR00666,LRN0075,CRS041,2024-03-04,2024-04-03,,In Progress,54,2024-03-12,,3,,No
ENR01121,LRN0002,CRS010,2024-01-03,2024-01-23,2024-02-02,Completed,100,2024-02-02,68.08,1,4,Yes
ENR01440,LRN0452,CRS045,2024-02-15,2024-02-25,,In Progress,76,2024-03-26,,1,,No
ENR00150,LRN0032,CRS059,2024-01-05,2024-03-25,2024-03-28,Completed,100,,48.58,1,4,No
ENR01519,LRN0035,CRS040,2024-02-19,2024-03-20,2024-02-23,Completed,100,2024-02-23,76.21,2,2,Yes
ENR01067,LRN0213,CRS006,2024-03-03,2024-03-13,,Dropped,9,2024-03-08,,1,,No
ENR01001,LRN0056,CRS031,2024-02-25,2024-03-06,2024-02-28,Completed,100,,52.69,1,1,No
ENR01310,LRN0070,CRS047,2024-02-13,2024-04-13,,In Progress,66,2024-03-17,,2,,No
ENR00451,LRN0079,CRS055,2024-03-05,2024-03-15,2024-03-08,Completed,100,2024-03-08,57.03,1,4,No
ENR00319,LRN0219,CRS002,2024-01-26,2024-02-15,2024-01-29,Completed,100,2024-01-29,65.92,1,2,Yes
ENR00367,LRN0133,CRS059,2024-03-14,2024-06-02,,In Progress,64,2024-03-21,,2,,No
ENR01081,LRN0084,CRS024,2024-01-13,2024-02-12,,Dropped,19,2024-01-17,,3,,No
ENR00478,LRN0472,CRS020,2024-03-17,2024-03-27,2024-03-30,Completed,100,2024-03-30,68.97,2,5,Yes
ENR00551,LRN0100,CRS054,2024-03-14,2024-04-23,2024-03-24,Completed,100,2024-03-24,63.08,1,3,Yes
ENR01736,LRN0232,CRS058,2024-01-11,2024-02-10,,In Progress,84,2024-02-22,,1,,No
ENR00982,LRN0097,CRS043,2024-03-01,2024-05-20,,In Progress,22,2024-03-07,,1,,No
ENR01591,LRN0162,CRS045,2024-01-29,2024-02-08,,In Progress,85,2024-01-31,,1,,No
ENR00016,LRN0091,CRS042,2024-01-06,2024-01-16,,Not Started,0,,,1,1,No
ENR00220,LRN0227,CRS041,2024-01-01,2024-01-31,2024-01-27,Completed,100,2024-01-27,48.85,1,2,No
ENR00973,LRN0023,CRS020,2024-01-24,2024-02-03,2024-02-09,Completed,100,2024-02-09,77.1,1,4,Yes
ENR00688,LRN0351,CRS006,2024-02-17,2024-02-27,2024-03-02,Completed,100,2024-03-02,93.59,1,5,Yes
ENR00897,LRN0184,CRS048,2024-03-02,2024-03-12,2024-03-06,Completed,100,2024-03-06,86.99,1,2,Yes
ENR00126,LRN0325,CRS015,2024-01-03,2024-01-13,2024-01-16,Completed,100,2024-01-16,82.13,1,5,Yes
ENR01724,LRN0109,CRS060,2024-02-11,2024-03-12,,Dropped,32,2024-02-18,,1,,No
ENR00994,LRN0314,CRS057,2024-01-18,2024-01-28,,Dropped,18,2024-01-29,,1,,No
ENR01838,LRN0108,CRS020,2024-01-07,2024-01-17,2024-01-15,Completed,100,2024-01-15,93.33,1,5,Yes
ENR00839,LRN0426,CRS022,2024-01-23,2024-02-12,,Not Started,0,,,2,,No
ENR01251,LRN0020,CRS002,2024-01-16,2024-02-05,2024-02-14,Completed,100,2024-02-14,54.67,1,3,No
ENR00730,LRN0384,CRS005,2024-02-11,2024-03-22,,Not Started,0,,,1,,No
ENR01723,LRN0162,CRS044,2024-01-09,2024-03-29,2024-01-19,Completed,100,2024-01-19,69.48,1,3,Yes
ENR00203,LRN0430,CRS002,2024-01-13,2024-02-02,2024-01-16,Completed,100,2024-01-16,74.41,1,1,Yes
ENR00452,LRN0263,CRS013,2024-02-21,2024-05-11,2024-03-22,Completed,100,2024-03-22,68.27,1,5,Yes
ENR01254,LRN0482,CRS013,2024-03-10,2024-05-29,,Not Started,0,,,2,,No
ENR01475,LRN0462,CRS021,2024-03-13,2024-04-02,2024-03-16,Completed,100,,45.58,2,1,No
ENR00795,LRN0495,CRS016,2024-02-05,2024-02-25,,In Progress,51,2024-02-08,,1,,No
ENR01839,LRN0057,CRS010,2024-01-12,2024-02-01,2024-02-03,Completed,100,2024-02-03,91.39,1,3,Yes
ENR01979,LRN0234,CRS004,2024-02-03,2024-04-03,,In Progress,64,2024-03-09,,1,,No
ENR00843,LRN0354,CRS015,2024-01-10,2024-01-20,,In Progress,30,2024-01-24,,2,,No
ENR00387,LRN0318,CRS042,2024-01-08,2024-01-18,,Dropped,35,2024-01-11,,1,,No
ENR00416,LRN0395,CRS038,2024-01-20,2024-02-19,2024-02-29,Completed,100,2024-02-29,74.9,3,5,Yes
ENR01557,LRN0014,CRS039,2024-01-24,2024-04-13,,In Progress,41,2024-03-26,,1,,No
ENR01804,LRN0086,CRS013,2024-03-03,2024-05-22,,In Progress,28,2024-03-26,,2,,No
ENR00759,LRN0008,CRS023,2024-01-29,2024-04-18,2024-02-01,Completed,100,2024-02-01,51.18,1,4,No
ENR01363,LRN0232,CRS033,2024-02-09,2024-03-20,2024-03-03,Completed,100,2024-03-03,45.64,1,1,No
ENR00370,LRN0085,CRS004,2024-02-17,2024-04-17,,In Progress,44,2024-02-29,,1,5,No
ENR00268,LRN0444,CRS052,2024-01-07,2024-03-27,,Dropped,19,2024-01-18,,1,,No
ENR01895,LRN0062,CRS032,2024-01-14,2024-01-24,,In Progress,47,2024-01-21,,1,,No
ENR00983,LRN0440,CRS052,2024-01-10,2024-03-30,2024-01-21,Completed,100,2024-01-21,92.18,1,1,Yes
ENR01714,LRN0093,CRS038,2024-02-09,2024-03-10,2024-02-26,Completed,100,2024-02-26,52.7,2,1,No
ENR00530,LRN0115,CRS014,2024-02-18,2024-03-19,2024-03-11,Completed,100,2024-03-11,74.29,1,1,Yes
ENR00573,LRN0263,CRS044,2024-01-10,2024-03-30,,Dropped,2,2024-01-15,,1,,No
ENR00855,LRN0289,CRS035,2024-01-10,2024-03-30,2024-03-05,Completed,100,2024-03-05,96.55,1,3,Yes
ENR00876,LRN0347,CRS026,2024-01-20,2024-01-30,2024-02-09,Completed,100,2024-02-09,97.82,1,3,Yes
ENR00475,LRN0001,CRS004,2024-02-02,2024-04-02,2024-03-04,Completed,100,2024-03-04,88.19,1,5,Yes
ENR01388,LRN0494,CRS015,2024-01-25,2024-02-04,,Dropped,1,2024-02-06,,1,,No
ENR00188,LRN0056,CRS022,2024-03-13,2024-04-02,,Not Started,0,,,1,,No
ENR01509,LRN0321,CRS060,2024-01-30,2024-02-29,2024-02-03,Completed,100,2024-02-03,48.25,1,3,No
ENR01527,LRN0165,CRS018,2024-01-20,2024-02-19,2024-02-16,Completed,100,2024-02-16,91.76,1,1,Yes
ENR00937,LRN0369,CRS025,2024-02-11,2024-03-22,,In Progress,87,2024-03-07,,1,,No
ENR00862,LRN0448,CRS047,2024-02-16,2024-04-16,,Not Started,0,,,1,,No
ENR01727,LRN0417,CRS026,2024-01-18,2024-01-28,,In Progress,42,2024-03-31,,2,,No
ENR00955,LRN0406,CRS014,2024-02-20,2024-03-21,2024-03-12,Completed,100,,93.44,3,5,Yes
ENR00242,LRN0490,CRS001,2024-03-15,2024-04-14,,Dropped,6,2024-03-15,,1,,No
ENR00236,LRN0417,CRS010,2024-02-04,2024-02-24,,Dropped,25,2024-02-18,,1,2,No
ENR01588,LRN0365,CRS004,2024-01-01,2024-03-01,2024-03-07,Completed,100,2024-03-07,70.53,1,5,Yes
ENR01896,LRN0148,CRS018,2024-03-11,2024-04-10,,In Progress,39,2024-03-28,,1,,No
ENR01297,LRN0363,CRS058,2024-02-11,2024-03-12,2024-03-12,Completed,100,2024-03-12,97.02,1,2,Yes
ENR00858,LRN0496,CRS025,2024-02-02,2024-03-13,,Dropped,1,,,1,,No
ENR00742,LRN0133,CRS055,2024-01-29,2024-02-08,,In Progress,51,2024-03-18,,1,,No
ENR01259,LRN0487,CRS055,2024-03-12,2024-03-22,2024-03-26,Completed,100,2024-03-26,62.62,1,3,Yes
ENR01343,LRN0285,CRS048,2024-02-07,2024-02-17,2024-02-14,Completed,100,2024-02-14,97.55,1,4,Yes
ENR01558,LRN0181,CRS053,2024-01-28,2024-04-17,,Not Started,0,,,1,,No
ENR00160,LRN0308,CRS045,2024-02-12,2024-02-22,,Dropped,21,2024-02-21,,1,,No
ENR01439,LRN0040,CRS037,2024-02-28,2024-04-08,,Dropped,15,2024-02-28,,1,,No
ENR00098,LRN0177,CRS057,2024-02-21,2024-03-02,,Dropped,19,2024-03-06,,1,,No
ENR01396,LRN0056,CRS031,2024-03-16,2024-03-26,,In Progress,71,2024-03-28,,1,,No
ENR01733,LRN0456,CRS032,2024-02-12,2024-02-22,,In Progress,54,2024-03-19,,1,,No
ENR01611,LRN0133,CRS045,2024-02-11,2024-02-21,2024-02-14,Completed,100,2024-02-14,49.66,1,5,No
ENR00970,LRN0474,CRS035,2024-01-07,2024-03-27,2024-01-17,Completed,100,2024-01-17,83.4,1,4,Yes
ENR00313,LRN0392,CRS050,2024-02-21,2024-03-02,,In Progress,26,,,1,,No
ENR00144,LRN0266,CRS030,2024-03-04,2024-05-03,2024-03-07,Completed,100,2024-03-07,93.61,1,3,Yes
ENR01262,LRN0427,CRS046,2024-02-12,2024-03-23,,In Progress,14,2024-02-29,,1,,No
ENR00171,LRN0315,CRS005,2024-01-22,2024-03-02,,In Progress,57,2024-03-27,,1,,No
ENR01403,LRN0487,CRS018,2024-01-07,2024-02-06,2024-01-29,Completed,100,2024-01-29,59.0,1,3,No
ENR00729,LRN0052,CRS004,2024-02-13,2024-04-13,2024-03-26,Completed,100,2024-03-26,69.1,1,4,Yes
ENR01490,LRN0005,CRS014,2024-01-21,2024-02-20,,In Progress,19,2024-01-22,,1,,No
ENR01598,LRN0063,CRS026,2024-03-13,2024-03-23,,Not Started,0,,,1,,No
ENR00866,LRN0349,CRS037,2024-01-20,2024-02-29,,In Progress,29,2024-02-14,,1,,No
ENR00592,LRN0391,CRS047,2024-02-23,2024-04-23,2024-03-31,Completed,100,2024-03-31,78.27,1,5,Yes
ENR00120,LRN0302,CRS003,2024-03-03,2024-03-23,,Dropped,21,2024-03-03,,1,,No
ENR00916,LRN0032,CRS048,2024-01-25,2024-02-04,,In Progress,46,2024-03-29,,1,,No
ENR01307,LRN0325,CRS010,2024-01-20,2024-02-09,2024-01-25,Completed,100,2024-01-25,51.49,1,4,No
ENR01508,LRN0370,CRS049,2024-03-02,2024-04-11,2024-03-05,Completed,100,2024-03-05,54.77,1,3,No
ENR00790,LRN0266,CRS056,2024-02-18,2024-04-18,2024-02-26,Completed,100,2024-02-26,77.47,1,1,Yes
ENR00737,LRN0492,CRS033,2024-02-11,2024-03-22,,Dropped,18,2024-02-18,,1,,No
ENR01285,LRN0499,CRS024,2024-03-12,2024-04-11,,In Progress,27,2024-03-27,,1,,No
ENR01419,LRN0494,CRS025,2024-02-02,2024-03-13,2024-02-05,Completed,100,2024-02-05,94.75,2,2,Yes
ENR01841,LRN0046,CRS050,2024-01-16,2024-01-26,2024-02-02,Completed,100,2024-02-02,78.69,1,5,Yes
ENR00487,LRN0070,CRS015,2024-01-20,2024-01-30,2024-01-24,Completed,100,2024-01-24,84.55,2,4,Yes
ENR01428,LRN0282,CRS042,2024-01-18,2024-01-28,2024-01-22,Completed,100,2024-01-22,67.48,3,3,Yes
ENR00731,LRN0302,CRS020,2024-03-14,2024-03-24,2024-03-17,Completed,100,2024-03-17,69.1,1,5,Yes
ENR01020,LRN0121,CRS002,2024-01-26,2024-02-15,,In Progress,18,2024-02-04,,1,,No
ENR00939,LRN0006,CRS018,2024-01-01,2024-01-31,2024-01-20,Completed,100,,85.08,3,1,Yes
ENR00735,LRN0131,CRS039,2024-01-03,2024-03-23,2024-03-20,Completed,100,2024-03-20,67.59,1,4,Yes
ENR01064,LRN0155,CRS060,2024-01-27,2024-02-26,,Dropped,2,2024-02-06,,1,,No
ENR01048,LRN0128,CRS030,2024-01-20,2024-03-20,,Not Started,0,,,1,,No
ENR01387,LRN0187,CRS032,2024-02-26,2024-03-07,2024-02-29,Completed,100,2024-02-29,76.42,1,3,Yes
ENR01154,LRN0240,CRS002,2024-01-06,2024-01-26,,In Progress,43,2024-01-06,,2,,No
ENR00390,LRN0473,CRS026,2024-02-25,2024-03-06,2024-03-01,Completed,100,2024-03-01,48.55,1,5,No
ENR01562,LRN0311,CRS032,2024-01-16,2024-01-26,,Dropped,10,,,2,,No
ENR01806,LRN0381,CRS046,2024-02-21,2024-04-01,,In Progress,24,2024-03-29,,1,5,No
ENR00300,LRN0347,CRS057,2024-03-09,2024-03-19,,In Progress,11,2024-03-21,,1,,No
ENR00173,LRN0299,CRS042,2024-01-05,2024-01-15,2024-01-08,Completed,100,2024-01-08,69.86,1,2,Yes
ENR00828,LRN0476,CRS043,2024-03-11,2024-05-30,,Dropped,28,,,2,,No
ENR00915,LRN0249,CRS021,2024-03-09,2024-03-29,2024-03-16,Completed,100,2024-03-16,97.67,1,1,Yes
ENR00952,LRN0346,CRS035,2024-02-22,2024-05-12,2024-03-31,Completed,100,2024-03-31,49.75,1,2,No
ENR01096,LRN0168,CRS012,2024-01-12,2024-02-21,,Dropped,33,2024-01-26,,1,,No
ENR00674,LRN0500,CRS041,2024-02-10,2024-03-11,2024-02-19,Completed,100,2024-02-19,45.99,1,1,No
ENR00115,LRN0373,CRS021,2024-01-12,2024-02-01,,Dropped,26,2024-01-22,,1,,No
ENR01689,LRN0039,CRS033,2024-01-25,2024-03-05,,Dropped,32,2024-02-06,,2,,No
ENR01882,LRN0093,CRS025,2024-01-07,2024-02-16,2024-01-13,Completed,100,2024-01-13,63.28,1,4,Yes
ENR01977,LRN0356,CRS040,2024-03-05,2024-04-04,,Dropped,1,2024-03-11,,1,,No
ENR00256,LRN0308,CRS005,2024-02-13,2024-03-24,2024-03-24,Completed,100,2024-03-24,85.86,1,5,Yes
ENR00165,LRN0284,CRS016,2024-01-23,2024-02-12,2024-01-29,Completed,100,2024-01-29,91.36,2,1,Yes
ENR01184,LRN0311,CRS039,2024-03-05,2024-05-24,2024-03-30,Completed,100,,69.82,1,4,Yes
ENR01526,LRN0211,CRS043,2024-01-18,2024-04-07,,Not Started,0,,,1,,No
ENR00723,LRN0242,CRS060,2024-02-08,2024-03-09,2024-02-22,Completed,100,2024-02-22,63.35,1,3,Yes
